site	label	named_by_remedy	n_s	n_r	seed	trigger	reached	remedy	outcome	remedy_usable	detail	generator	boot_samples	conf_level	r_version	glmmtmb_version	platform
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	TRUE	6	3	1	MSE=0 exact	TRUE	montecarlo	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	6	3	1	MSE=0 exact	TRUE	searle	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	6	3	1	MSE=0 exact	TRUE	burch	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	6	3	1	MSE=0 exact	TRUE	npbootstrap	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-bootstrap.R:f3b08ac552	bootstrap refit convergence	FALSE	6	3	1	MSE=0 exact	TRUE	bootstrap	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	TRUE	6	3	1	MSE=0 exact	TRUE	montecarlo	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	6	3	1	MSE=0 exact	TRUE	searle	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	6	3	1	MSE=0 exact	TRUE	burch	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	6	3	1	MSE=0 exact	TRUE	npbootstrap	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-classical.R:990cd66e44	classical MSE = 0	FALSE	6	3	1	MSE=0 exact	TRUE	bootstrap	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	TRUE	6	3	1	MSE=0 exact	TRUE	montecarlo	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	6	3	1	MSE=0 exact	TRUE	searle	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
R/ci-npbootstrap.R:bf1a802a9c	npbootstrap observed degeneracy	FALSE	6	3	1	MSE=0 exact	TRUE	burch	classed abort	FALSE	intraclass_singular_fit	cell$gen	99	0.95	4.6.1	1.1.14	aarch64-apple-darwin25.4.0
