form	c_k	c_g	w1	w2	w3	passes	max_protected_fire	min_targeted_fire
K	0.5	NA	FALSE	FALSE	FALSE	FALSE	0.1821	0.0705
K	1	NA	FALSE	FALSE	TRUE	FALSE	0.0826	0.0090
K	1.5	NA	FALSE	FALSE	TRUE	FALSE	0.0397	0.0000
K	2	NA	FALSE	FALSE	TRUE	FALSE	0.0222	0.0000
K	3	NA	FALSE	FALSE	TRUE	FALSE	0.0041	0.0000
K	4	NA	FALSE	FALSE	TRUE	FALSE	0.0010	0.0000
S	NA	0.25	FALSE	FALSE	FALSE	FALSE	0.5402	0.1180
S	NA	0.5	FALSE	FALSE	FALSE	FALSE	0.2307	0.0016
S	NA	0.75	FALSE	FALSE	TRUE	FALSE	0.0846	0.0000
S	NA	1	FALSE	FALSE	TRUE	FALSE	0.0294	0.0000
S	NA	1.5	FALSE	FALSE	TRUE	FALSE	0.0026	0.0000
S	NA	2	FALSE	FALSE	TRUE	FALSE	0.0000	0.0000
KS	0.5	0.25	FALSE	FALSE	FALSE	FALSE	0.5655	0.1625
KS	1	0.25	FALSE	FALSE	FALSE	FALSE	0.5454	0.1222
KS	1.5	0.25	FALSE	FALSE	FALSE	FALSE	0.5418	0.1180
KS	2	0.25	FALSE	FALSE	FALSE	FALSE	0.5408	0.1180
KS	3	0.25	FALSE	FALSE	FALSE	FALSE	0.5402	0.1180
KS	4	0.25	FALSE	FALSE	FALSE	FALSE	0.5402	0.1180
KS	0.5	0.5	FALSE	FALSE	FALSE	FALSE	0.2931	0.0705
KS	1	0.5	FALSE	FALSE	FALSE	FALSE	0.2446	0.0101
KS	1.5	0.5	FALSE	FALSE	FALSE	FALSE	0.2337	0.0020
KS	2	0.5	FALSE	FALSE	FALSE	FALSE	0.2322	0.0016
KS	3	0.5	FALSE	FALSE	FALSE	FALSE	0.2307	0.0016
KS	4	0.5	FALSE	FALSE	FALSE	FALSE	0.2307	0.0016
KS	0.5	0.75	FALSE	FALSE	FALSE	FALSE	0.1992	0.0705
KS	1	0.75	FALSE	FALSE	FALSE	FALSE	0.1161	0.0090
KS	1.5	0.75	FALSE	FALSE	TRUE	FALSE	0.0908	0.0000
KS	2	0.75	FALSE	FALSE	TRUE	FALSE	0.0877	0.0000
KS	3	0.75	FALSE	FALSE	TRUE	FALSE	0.0851	0.0000
KS	4	0.75	FALSE	FALSE	TRUE	FALSE	0.0846	0.0000
KS	0.5	1	FALSE	FALSE	FALSE	FALSE	0.1821	0.0705
KS	1	1	FALSE	FALSE	TRUE	FALSE	0.0857	0.0090
KS	1.5	1	FALSE	FALSE	TRUE	FALSE	0.0495	0.0000
KS	2	1	FALSE	FALSE	TRUE	FALSE	0.0366	0.0000
KS	3	1	FALSE	FALSE	TRUE	FALSE	0.0299	0.0000
KS	4	1	FALSE	FALSE	TRUE	FALSE	0.0294	0.0000
KS	0.5	1.5	FALSE	FALSE	FALSE	FALSE	0.1821	0.0705
KS	1	1.5	FALSE	FALSE	TRUE	FALSE	0.0826	0.0090
KS	1.5	1.5	FALSE	FALSE	TRUE	FALSE	0.0397	0.0000
KS	2	1.5	FALSE	FALSE	TRUE	FALSE	0.0222	0.0000
KS	3	1.5	FALSE	FALSE	TRUE	FALSE	0.0052	0.0000
KS	4	1.5	FALSE	FALSE	TRUE	FALSE	0.0026	0.0000
KS	0.5	2	FALSE	FALSE	FALSE	FALSE	0.1821	0.0705
KS	1	2	FALSE	FALSE	TRUE	FALSE	0.0826	0.0090
KS	1.5	2	FALSE	FALSE	TRUE	FALSE	0.0397	0.0000
KS	2	2	FALSE	FALSE	TRUE	FALSE	0.0222	0.0000
KS	3	2	FALSE	FALSE	TRUE	FALSE	0.0041	0.0000
KS	4	2	FALSE	FALSE	TRUE	FALSE	0.0010	0.0000
