# M118 -- burch-vs-searle interval width on a BOTH-components-non-normal grid.
# Both A_i and e_ij are drawn from `dist`, located and scaled per burch2011
# sec 3 (p. 1022). Generated by data-raw/m118-width-reversal-sweep.R.
# mean_ratio is comparable to Burch's eq. 18 (a ratio of expected lengths);
# median_ratio is the repo's M116/M117 convention and is what W1 reads.
# Rules W1-W3: cairn/references/classical-width-reversal-comparison.md.
block	cell	rho	k	n	dist	n_rep	n_skip	mean_ratio	median_ratio	burch_med_width	searle_med_width	burch_coverage	searle_coverage
fig2	101	0.5	10	5	uniform	2000	0	0.918403553835282	0.916501926305561	0.527238901474387	0.57852183073837	0.9595	0.98
fig2	102	0.5	10	5	powexp	2000	0	0.956366588672953	0.947445022698178	0.541342691478484	0.578129558160525	0.9415	0.966
fig2	103	0.5	10	5	gaussian	2000	0	0.985762670123639	0.973209524293206	0.552780068319159	0.577793597785653	0.9375	0.9445
fig2	104	0.5	10	5	t10	2000	0	1.03941789224362	1.00444261525124	0.569403008444183	0.580019346056771	0.9295	0.936
fig2	105	0.5	10	5	laplace	2000	0	1.15052087526585	1.09645630112434	0.60998695998483	0.578382831301939	0.907	0.883
fig2	106	0.5	10	5	t5	2000	0	1.12588671817091	1.0647989612124	0.592796565207931	0.578608800568131	0.9065	0.8935
fig2	107	0.5	20	5	uniform	2000	0	0.909414951314225	0.907045682594654	0.374567273236166	0.413423836092299	0.9695	0.987
fig2	108	0.5	20	5	powexp	2000	0	0.956046686636226	0.949800041781546	0.390726185762224	0.415064818527739	0.957	0.965
fig2	109	0.5	20	5	gaussian	2000	0	0.993830116555471	0.980955775120806	0.401566703900619	0.41426397110741	0.938	0.9515
fig2	110	0.5	20	5	t10	2000	0	1.0702976353343	1.03205164814951	0.421856450737743	0.41481174032999	0.9465	0.9395
fig2	111	0.5	20	5	laplace	2000	0	1.24842212174907	1.18084235289248	0.476002899995968	0.41338812208385	0.913	0.857
fig2	112	0.5	20	5	t5	2000	0	1.23540752747151	1.13034006778522	0.457912780659086	0.414675357726349	0.9205	0.877
fig2	113	0.5	30	5	uniform	2000	0	0.905269711878435	0.903090477210765	0.305322087557625	0.338534672658332	0.976	0.9885
fig2	114	0.5	30	5	powexp	2000	0	0.955584734210916	0.950788047771299	0.32070432405004	0.338626443395092	0.9505	0.965
fig2	115	0.5	30	5	gaussian	2000	0	0.995292084642956	0.986379776022997	0.331507293995342	0.337848023372974	0.934	0.943
fig2	116	0.5	30	5	t10	2000	0	1.08834884243128	1.05128063119278	0.351451259732175	0.338723320427741	0.937	0.922
fig2	117	0.5	30	5	laplace	2000	0	1.28158294709713	1.21738080089682	0.405341604155942	0.341430119574024	0.9165	0.8485
fig2	118	0.5	30	5	t5	2000	0	1.31063086701786	1.17319384430706	0.391775661220185	0.33950683955915	0.925	0.8525
fig2	119	0.5	40	5	uniform	2000	0	0.902901082133493	0.900906929753911	0.263983370929741	0.293274535476378	0.974	0.988
fig2	120	0.5	40	5	powexp	2000	0	0.954435515447099	0.950393559081386	0.277996648058102	0.293019280971939	0.9555	0.968
fig2	121	0.5	40	5	gaussian	2000	0	0.99991021317049	0.990300669473843	0.289771469745159	0.293907178299015	0.9415	0.945
fig2	122	0.5	40	5	t10	2000	0	1.09061336203352	1.05467212537376	0.307245219703917	0.292692832913564	0.9325	0.921
fig2	123	0.5	40	5	laplace	2000	0	1.30730756078363	1.2389902584134	0.358724151976632	0.294369165448253	0.927	0.849
fig2	124	0.5	40	5	t5	2000	0	1.34788163000596	1.20523985521771	0.348085872816214	0.294857622568413	0.917	0.842
fig2	125	0.5	50	5	uniform	2000	0	0.901412631484028	0.899770530972083	0.236074435353713	0.262673063888449	0.9745	0.986
fig2	126	0.5	50	5	powexp	2000	0	0.954844485592543	0.950676044358553	0.249414894193136	0.262852924683903	0.9465	0.96
fig2	127	0.5	50	5	gaussian	2000	0	0.998300122361724	0.990550835717755	0.259526505241259	0.262932510398499	0.9465	0.9515
fig2	128	0.5	50	5	t10	2000	0	1.09563212907101	1.06019744715589	0.276506449314499	0.263065792947513	0.9245	0.908
fig2	129	0.5	50	5	laplace	2000	0	1.31507504196977	1.25773487561559	0.32716890998244	0.263851915235597	0.919	0.84
fig2	130	0.5	50	5	t5	2000	0	1.39233268033188	1.2285687315663	0.319495531767359	0.26382248724416	0.93	0.8425
fig2	131	0.5	60	5	uniform	2000	0	0.900743609037344	0.899745245262784	0.215489600443893	0.239499338985118	0.9735	0.987
fig2	132	0.5	60	5	powexp	2000	0	0.954261496185857	0.950662236801328	0.228441209110751	0.240312514966971	0.953	0.9675
fig2	133	0.5	60	5	gaussian	2000	0	0.998913405584294	0.991773104960244	0.237834555962145	0.240136235369032	0.943	0.951
fig2	134	0.5	60	5	t10	2000	0	1.09841020059524	1.06768974540026	0.255742019577911	0.240625615222856	0.9385	0.9135
fig2	135	0.5	60	5	laplace	2000	0	1.33589543783345	1.27024621151088	0.301145928439429	0.240706637457186	0.9315	0.85
fig2	136	0.5	60	5	t5	2000	0	1.40000393530383	1.24082594288618	0.295091628302067	0.240927426725111	0.9155	0.829
fig2	137	0.5	70	5	uniform	2000	0	0.9005844041413	0.899659211250673	0.199549171237814	0.221693236304402	0.9745	0.9905
fig2	138	0.5	70	5	powexp	2000	0	0.954455919938158	0.951811359891571	0.210873075019344	0.221915257683513	0.9565	0.968
fig2	139	0.5	70	5	gaussian	2000	0	0.99891342842121	0.994002000636915	0.219895638555451	0.221832907445071	0.946	0.9515
fig2	140	0.5	70	5	t10	2000	0	1.09540778874535	1.06828121882703	0.236733236156943	0.222494664021075	0.941	0.915
fig2	141	0.5	70	5	laplace	2000	0	1.33426014996542	1.28026628649431	0.281989874491324	0.222465077320913	0.925	0.8475
fig2	142	0.5	70	5	t5	2000	0	1.43480043502525	1.2642186089647	0.27862924066829	0.223265802649028	0.927	0.832
fig2	143	0.5	80	5	uniform	2000	0	0.89992738470935	0.898990061225436	0.186658284220225	0.207711093618571	0.976	0.988
fig2	144	0.5	80	5	powexp	2000	0	0.95384907216945	0.95158777825361	0.197248132309892	0.207672185008735	0.9535	0.9635
fig2	145	0.5	80	5	gaussian	2000	0	0.999941369187777	0.995290142778983	0.206496120442461	0.207999360522901	0.95	0.9485
fig2	146	0.5	80	5	t10	2000	0	1.09622826899299	1.07133996105824	0.221954683368067	0.208097775432428	0.927	0.912
fig2	147	0.5	80	5	laplace	2000	0	1.34503537753264	1.29571647146081	0.268512828332653	0.208502099708164	0.941	0.855
fig2	148	0.5	80	5	t5	2000	0	1.42248996438864	1.26298153502893	0.26005541873823	0.208860110614071	0.9155	0.8245
fig2	149	0.5	90	5	uniform	2000	0	0.899618896492645	0.898790105367595	0.175953156186709	0.195782578969599	0.978	0.9905
fig2	150	0.5	90	5	powexp	2000	0	0.953501522517412	0.951471095787003	0.186241621040373	0.195947408935163	0.9565	0.9675
fig2	151	0.5	90	5	gaussian	2000	0	0.998986792060462	0.995255423615691	0.194989294467118	0.196090362894226	0.9455	0.9475
fig2	152	0.5	90	5	t10	2000	0	1.10356735463102	1.07803861840964	0.210862775658135	0.196053628289151	0.9375	0.915
fig2	153	0.5	90	5	laplace	2000	0	1.34923044940018	1.30375358845881	0.253726442186125	0.196404573450498	0.933	0.831
fig2	154	0.5	90	5	t5	2000	0	1.45425857553157	1.28232578757115	0.248633947197938	0.196370559445569	0.932	0.8265
fig2	155	0.5	100	5	uniform	2000	0	0.898748233766368	0.898173526427637	0.167034924827762	0.185984862880524	0.977	0.989
fig2	156	0.5	100	5	powexp	2000	0	0.953900789798406	0.951336635709537	0.176729855135386	0.18574880946082	0.954	0.962
fig2	157	0.5	100	5	gaussian	2000	0	0.999717840485983	0.99574216880062	0.184363218220718	0.185598132459179	0.9555	0.9515
fig2	158	0.5	100	5	t10	2000	0	1.10627729660181	1.08009910577283	0.200312101063448	0.185867511459719	0.9295	0.904
fig2	159	0.5	100	5	laplace	2000	0	1.35079723887313	1.29982148083691	0.240881910742473	0.186103685766237	0.938	0.848
fig2	160	0.5	100	5	t5	2000	0	1.47209959815734	1.29628717460597	0.237951599026094	0.186487172179669	0.927	0.8285
anchor	161	0.25	100	5	uniform	2000	0	0.880710944656308	0.880262499624826	0.164162458149031	0.186428254642296	0.96	0.979
m111	162	0.05	10	5	gaussian	2000	0	0.961002386682067	0.921294032862464	0.452320505851428	0.502793158019668	0.9845	0.9475
m111	163	0.05	10	5	t5	2000	0	1.19931412843998	1.08363120421323	0.53485256087196	0.503238730822422	0.9905	0.943
m111	164	0.05	10	5	uniform	2000	0	0.86047246616783	0.826082468366683	0.395750020492504	0.499673485045827	0.983	0.959
m111	165	0.05	10	5	chisq1	2000	0	1.65846722491334	1.58182825808536	0.771625229995943	0.500755107719913	0.9945	0.9595
m111	166	0.05	30	5	gaussian	2000	0	0.989055657796715	0.96739621462948	0.258479098945165	0.269346147481249	0.9815	0.931
m111	167	0.05	30	5	t5	2000	0	1.46135444223779	1.27862960806935	0.337867247694493	0.266523552039834	0.9955	0.9515
m111	168	0.05	30	5	uniform	2000	0	0.859507575319579	0.84493318229919	0.227285227364226	0.270493893546976	0.9735	0.9565
m111	169	0.05	30	5	chisq1	2000	0	2.448602436238	2.2760711500087	0.599764379844308	0.267273071828729	0.998	0.937
m111	170	0.05	50	5	gaussian	2000	0	0.986697819557191	0.976810894485281	0.199650428744294	0.205154585904105	0.983	0.9565
m111	171	0.05	50	5	t5	2000	0	1.58411157888807	1.3551748575544	0.277700424020076	0.204714856527183	0.994	0.947
m111	172	0.05	50	5	uniform	2000	0	0.85886472007758	0.851152674186286	0.173659345564789	0.204577712016898	0.962	0.952
m111	173	0.05	50	5	chisq1	2000	0	2.88864191545023	2.6646000879955	0.544110904807908	0.203345489319489	0.999	0.9345
m111	174	0.05	10	2	gaussian	2000	0	0.984312092546769	0.951488544756916	1.06182330359009	1.13725412639474	0.9715	0.9445
m111	175	0.05	10	2	t5	2000	0	1.0949596491494	1.03369650912013	1.15128178564569	1.13991435723829	0.9775	0.957
m111	176	0.05	10	2	uniform	2000	0	0.875229832543814	0.852344572912864	0.964717451620211	1.13708971936229	0.9345	0.9365
m111	177	0.05	10	2	chisq1	2000	0	1.29717078433201	1.28885113109603	1.43562140238371	1.15190460721626	0.972	0.951
m111	178	0.1	10	5	gaussian	2000	0	0.943817313099692	0.915234763874463	0.48593823403867	0.539484356798312	0.9885	0.951
m111	179	0.1	10	5	t5	2000	0	1.15558605061514	1.06156333757533	0.558501825080028	0.539331089018387	0.986	0.9465
m111	180	0.1	10	5	uniform	2000	0	0.851079002852152	0.831623150392207	0.438152249111158	0.539911385545914	0.9795	0.9555
m111	181	0.1	10	5	chisq1	2000	0	1.58660467015984	1.50714297554455	0.78338892261738	0.527897872235299	0.985	0.913
m111	182	0.1	30	5	gaussian	2000	0	0.97412544899666	0.961402754767236	0.28348239177958	0.295554451710732	0.9795	0.946
m111	183	0.1	30	5	t5	2000	0	1.40807476247777	1.23347400523279	0.359080063184769	0.292925751831434	0.982	0.9215
m111	184	0.1	30	5	uniform	2000	0	0.855894320140934	0.851378132770267	0.249916031350013	0.294657066704781	0.9685	0.9515
m111	185	0.1	30	5	chisq1	2000	0	2.32083942542725	2.14944290492363	0.624554224691729	0.291558525567983	0.994	0.9095
m111	186	0.1	50	5	gaussian	2000	0	0.981845728888587	0.974085443014278	0.219518456739913	0.22483078797003	0.9625	0.954
m111	187	0.1	50	5	t5	2000	0	1.5219328921861	1.30255600248464	0.296718000659093	0.225132663437161	0.9845	0.9165
m111	188	0.1	50	5	uniform	2000	0	0.859204627571016	0.857814762841082	0.193284983124707	0.225178357061925	0.919	0.9565
m111	189	0.1	50	5	chisq1	2000	0	2.62812808817249	2.40729616352719	0.543277865639479	0.224320134671005	0.995	0.8835
m111	190	0.1	10	2	gaussian	2000	0	0.977159934502104	0.943213633470514	1.04840993865012	1.1307843496021	0.9725	0.9535
m111	191	0.1	10	2	t5	2000	0	1.08608724050066	1.02899765086451	1.12785134688879	1.13499820915381	0.9695	0.946
m111	192	0.1	10	2	uniform	2000	0	0.883392251812777	0.85984580705144	0.97298210359708	1.13301281529054	0.9445	0.937
m111	193	0.1	10	2	chisq1	2000	0	1.25906236924105	1.23048751593379	1.35439272736505	1.15139698731611	0.957	0.939
m111	194	0.3	10	5	gaussian	2000	0	0.957347208425422	0.939976624677855	0.557538615952356	0.598085598737908	0.936	0.946
m111	195	0.3	10	5	t5	2000	0	1.11454516903517	1.03728032813289	0.601156750798734	0.593263184097139	0.9365	0.9145
m111	196	0.3	10	5	uniform	2000	0	0.876162629714791	0.874574259041431	0.526043956178299	0.602820370747619	0.9455	0.9755
m111	197	0.3	10	5	chisq1	2000	0	1.48133793142604	1.41647451238009	0.776492453101831	0.571439316043255	0.959	0.8245
m111	198	0.3	30	5	gaussian	2000	0	0.983243904205579	0.971931876014932	0.337325810211443	0.349480301923548	0.946	0.952
m111	199	0.3	30	5	t5	2000	0	1.31423291337089	1.16961941845394	0.401012507029081	0.346988308543322	0.945	0.893
m111	200	0.3	30	5	uniform	2000	0	0.882817995142977	0.88083823446977	0.307649271080601	0.349912082360258	0.958	0.983
m111	201	0.3	30	5	chisq1	2000	0	2.04732138501944	1.92801051514147	0.639246097289421	0.341404771319692	0.971	0.765
m111	202	0.3	50	5	gaussian	2000	0	0.988439599005266	0.981180532273435	0.263875574175071	0.270600757130346	0.9465	0.9515
m111	203	0.3	50	5	t5	2000	0	1.40188781550877	1.24246302281983	0.330679755696687	0.269621776138252	0.941	0.871
m111	204	0.3	50	5	uniform	2000	0	0.88415049165546	0.883260006099193	0.238692490500409	0.270928998411729	0.956	0.976
m111	205	0.3	50	5	chisq1	2000	0	2.31598066776577	2.15091874525244	0.564461247121111	0.267109389520182	0.9755	0.7425
m111	206	0.3	10	2	gaussian	2000	0	0.965682848014308	0.928932923514872	1.00588323600797	1.08836392082121	0.9665	0.955
m111	207	0.3	10	2	t5	2000	0	1.05242424234368	0.988376712287142	1.06144095675755	1.09133075074025	0.9665	0.946
m111	208	0.3	10	2	uniform	2000	0	0.895201610494094	0.873325378769783	0.96211813950164	1.09924514379092	0.9705	0.9595
m111	209	0.3	10	2	chisq1	2000	0	1.22518260151722	1.13424247030405	1.19486760542707	1.09825435249272	0.923	0.897
m111	210	0.6	10	5	gaussian	2000	0	1.00359343973174	0.994707394972119	0.529655029255735	0.530459791391275	0.936	0.9515
m111	211	0.6	10	5	t5	2000	0	1.14980825649467	1.07791532665896	0.570733654429311	0.540273142510123	0.913	0.889
m111	212	0.6	10	5	uniform	2000	0	0.939065395455182	0.936904576383608	0.492288136139625	0.523431300785706	0.972	0.9845
m111	213	0.6	10	5	chisq1	2000	0	1.47614709498244	1.38286854833675	0.713008702467029	0.539809361091228	0.8585	0.7045
m111	214	0.6	30	5	gaussian	2000	0	1.00604573798749	0.995501670711754	0.307830776087936	0.308760394823703	0.947	0.9525
m111	215	0.6	30	5	t5	2000	0	1.31328535118788	1.17209490504563	0.363807448871235	0.313570786958141	0.909	0.8375
m111	216	0.6	30	5	uniform	2000	0	0.915904672679196	0.913412295466427	0.280241821992433	0.306462266581804	0.9825	0.9915
m111	217	0.6	30	5	chisq1	2000	0	1.96269478153842	1.80181521592458	0.547356642694473	0.315431255198044	0.9055	0.664
m111	218	0.6	50	5	gaussian	2000	0	1.00351567959928	0.996210169095822	0.238102418038789	0.238402178336149	0.954	0.9585
m111	219	0.6	50	5	t5	2000	0	1.3654065676697	1.21570673458798	0.291390377241567	0.241939893081096	0.9195	0.839
m111	220	0.6	50	5	uniform	2000	0	0.909470331396506	0.907690111885683	0.216168279816504	0.237934498888035	0.9805	0.9905
m111	221	0.6	50	5	chisq1	2000	0	2.18876338013235	1.99267305222011	0.472152372636828	0.244654645336351	0.925	0.63
m111	222	0.6	10	2	gaussian	2000	0	0.960486777605379	0.915816086243664	0.811126786521472	0.865530242015347	0.941	0.953
m111	223	0.6	10	2	t5	2000	0	1.03848247684506	0.959465631643968	0.846103052476528	0.856661016503624	0.9105	0.9135
m111	224	0.6	10	2	uniform	2000	0	0.909679316559875	0.88154095012496	0.762307421740642	0.854443318054023	0.9435	0.9685
m111	225	0.6	10	2	chisq1	2000	0	1.19552223640836	1.06852660464691	0.95985679803595	0.884179888622725	0.8735	0.8205
