cell	rho	k	n	dist	method	n_rep	n_abort	coverage_uncond	coverage_nonabort	lo_miss	hi_miss	med_width	width_ratio_vs_mc
1	0.05	10	5	gaussian	burch	2000	0	0.991	0.991	0.009	0	0.4485464978	0.6669718732
1	0.05	10	5	gaussian	mc	2000	764	0.5535	0.895631068	0.104368932	0	0.6725118643	1
1	0.05	10	5	gaussian	npbootstrap	2000	0	0.9395	0.9395	0.0315	0.029	0.5815248001	0.8647056371
1	0.05	10	5	gaussian	searle	2000	0	0.9565	0.9565	0.0195	0.024	0.4959483451	0.7374566479
2	0.05	10	5	t5	burch	2000	0	0.9835	0.9835	0.0165	0	0.4554428068	0.6959284547
2	0.05	10	5	t5	mc	2000	756	0.548	0.8810289389	0.1189710611	0	0.6544391219	1
2	0.05	10	5	t5	npbootstrap	2000	0	0.9295	0.9295	0.036	0.0345	0.5975753744	0.9131107148
2	0.05	10	5	t5	searle	2000	0	0.9445	0.9445	0.0285	0.027	0.5053824029	0.7722374565
3	0.05	10	5	uniform	burch	2000	0	0.9875	0.9875	0.0125	0	0.4536914834	0.6803114836
3	0.05	10	5	uniform	mc	2000	723	0.5665	0.8872357087	0.1127642913	0	0.6668878805	1
3	0.05	10	5	uniform	npbootstrap	2000	0	0.942	0.942	0.033	0.025	0.5830497549	0.8742845266
3	0.05	10	5	uniform	searle	2000	0	0.9485	0.9485	0.0245	0.027	0.5045127423	0.7565180852
4	0.05	10	5	chisq1	burch	2000	0	0.983	0.983	0.017	0	0.4472262931	0.6915140476
4	0.05	10	5	chisq1	mc	2000	791	0.526	0.8701406121	0.1298593879	0	0.6467349357	1
4	0.05	10	5	chisq1	npbootstrap	2000	0	0.939	0.939	0.0285	0.0325	0.603639828	0.9333651156
4	0.05	10	5	chisq1	searle	2000	0	0.935	0.935	0.034	0.031	0.4973397038	0.7690008322
5	0.05	30	5	gaussian	burch	2000	0	0.975	0.975	0.025	0	0.257240644	0.6811565284
5	0.05	30	5	gaussian	mc	2000	528	0.666	0.9048913043	0.09510869565	0	0.3776527615	1
5	0.05	30	5	gaussian	npbootstrap	2000	0	0.919	0.919	0.036	0.045	0.2710847832	0.7178149106
5	0.05	30	5	gaussian	searle	2000	0	0.93	0.93	0.0345	0.0355	0.2679481803	0.7095093897
6	0.05	30	5	t5	burch	2000	0	0.98	0.98	0.02	0	0.2576883264	0.6932457584
6	0.05	30	5	t5	mc	2000	529	0.6615	0.8993881713	0.1006118287	0	0.3717128064	1
6	0.05	30	5	t5	npbootstrap	2000	0	0.9405	0.9405	0.0255	0.034	0.2755422479	0.7412772527
6	0.05	30	5	t5	searle	2000	0	0.9425	0.9425	0.0265	0.031	0.267480109	0.7195880918
7	0.05	30	5	uniform	burch	2000	0	0.986	0.986	0.014	0	0.2583980331	0.6939749988
