script	run_date	verdict	pins	pin_detail	max_abs_delta	n_compared_leaves	r_version	glmmtmb	lme4	brms	rstan	stanheaders	lavaan	notes
oracle-bayesian-conflated.R	2026-08-07	drift-within-noise	4/4		1.250e-02	26	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=33.03
oracle-bayesian-fixed-replicates.R	2026-08-07	drift-within-noise	4/4		3.264e-02	29	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=8.84
oracle-bayesian-fixed.R	2026-08-07	drift-within-noise	1/1		5.000e-03	19	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=2.82
oracle-bayesian-incomplete-fixed-multilevel.R	2026-08-07	reproduced	4/4		0.000e+00	28	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=14.8
oracle-bayesian-incomplete-multilevel.R	2026-08-07	reproduced	5/5		0.000e+00	29	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=22.55
oracle-bayesian-incomplete-nested.R	2026-08-07	reproduced	3/3		0.000e+00	25	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=35.77
oracle-bayesian-multilevel-fixed.R	2026-08-07	drift-within-noise	1/1		1.279e-03	23	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=15.77
oracle-bayesian-multilevel-replicates.R	2026-08-07	drift-within-noise	8/8		2.500e-02	30	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=42.81
oracle-bayesian-multilevel.R	2026-08-07	reproduced	4/4		0.000e+00	20	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=48.18
oracle-bayesian-nested-fixed.R	2026-08-07	reproduced	1/1		0.000e+00	20	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=17.35
oracle-bayesian-nested.R	2026-08-08	drift-within-noise	3/3		1.250e-02	19	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=35.79
oracle-bayesian-oneway.R	2026-08-08	drift-within-noise	4/4		2.000e-02	19	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=3.44
oracle-bayesian-replicates.R	2026-08-07	drift-within-noise	4/4		1.250e-02	29	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=11.32
oracle-bayesian.R	2026-08-07	reproduced	4/4		0.000e+00	21	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=31.49
oracle-cluster-ck-coverage.R	2026-08-07	reproduced	1/1		0.000e+00	9	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=24.06
oracle-cluster-ck-incomplete.R	2026-08-06	pins-pass	9/9		NA	NA	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=0.44
oracle-d-study.R	2026-08-06	pins-pass	0/0		NA	NA	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=0.02
oracle-fixed-cluster-level.R	2026-08-07	drift-within-noise	3/3		 Inf	10	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=219.58; delta=Inf is a comparator artifact of the pre-NA-fix leaf diff: the committed fixture's coverage_random/mean_bias columns carry structural NAs (boundary cell), which mapped to Inf; NA patterns match and pins 3/3 are the D-024 bar
oracle-fixed-incomplete.R	2026-08-07	pins-pass	3/3		NA	NA	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=0.62
oracle-fixed-multilevel.R	2026-08-07	pins-pass	10/10		NA	NA	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=0.03
oracle-fixed-vs-random.R	2026-08-07	pins-pass	0/0		NA	NA	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=0.01
oracle-incomplete-fixed-nested.R	2026-08-07	reproduced	3/3		0.000e+00	9	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=3.86
oracle-incomplete-multilevel.R	2026-08-07	pins-pass	7/7		NA	NA	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=0.03
oracle-incomplete.R	2026-08-07	pins-pass	2/2		NA	NA	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=0.03
oracle-multilevel.R	2026-08-07	pins-pass	7/7		NA	NA	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=0.04
oracle-nested-fixed-interval.R	2026-08-07	reproduced	2/2		0.000e+00	10	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=14.76
oracle-nested-multilevel.R	2026-08-07	pins-pass	16/16		NA	NA	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=0.04
oracle-sem-multilevel-recovery.R	2026-08-07	reproduced	1/1		0.000e+00	15	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=1.2
oracle-sem.R	2026-08-07	pins-pass	2/2		NA	NA	4.6.1	1.1.14	2.0.1	2.23.0	2.32.7	2.32.10	0.6.21	elapsed_min=0.02
